n_features,eval_auc_roc,eval_auc_pr,removed_next,removed_next_name,select_objective_next,kept_sites,kept_features,eval_auc_pr_dos,eval_auc_pr_probe,eval_auc_pr_r2l,eval_auc_pr_u2r,eval_auc_roc_dos,eval_auc_roc_probe,eval_auc_roc_r2l,eval_auc_roc_u2r,n_dos,n_probe,n_r2l,n_u2r
40,0.9384667593337536,0.93375477680372,34,dst_host_same_src_port_rate,0.9493247003732432,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | dst_bytes | land | wrong_fragment | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | srv_diff_host_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_serror_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9234281518485474,0.797452046667672,0.6110484804213978,0.10145709535053589,0.9677986908631349,0.9360055141634228,0.8682291912073218,0.8416560247167868,3729,1211,1377,100
39,0.9525370543967354,0.9496091829967046,29,srv_diff_host_rate,0.9551485686781809,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 35 | 36 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | dst_bytes | land | wrong_fragment | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | srv_diff_host_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_srv_diff_host_rate | dst_host_serror_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9480943824282008,0.8199673846979928,0.683868092419618,0.14856525818775462,0.9795040348160478,0.9391475838116272,0.8959022995855855,0.8889454170957776,3729,1211,1377,100
38,0.9581458365531695,0.9552137622518175,7,wrong_fragment,0.9601630769143863,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 31 | 32 | 33 | 35 | 36 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | dst_bytes | land | wrong_fragment | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_srv_diff_host_rate | dst_host_serror_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9580281927867034,0.822538423174779,0.704971967954962,0.16290531892510154,0.98456620376546,0.9457698525616113,0.9016133073361321,0.9012564366632337,3729,1211,1377,100
37,0.9615247346814838,0.9703791167787794,31,dst_host_srv_count,0.96436272054111,0 | 1 | 2 | 3 | 4 | 5 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 31 | 32 | 33 | 35 | 36 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | dst_bytes | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_srv_diff_host_rate | dst_host_serror_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9809104001387579,0.8803297754439834,0.746927005847565,0.28242042963847813,0.9880888209123857,0.9492358495459998,0.9045565405473324,0.9042203913491246,3729,1211,1377,100
36,0.9657358230511224,0.972761627404288,5,dst_bytes,0.9671221002785457,0 | 1 | 2 | 3 | 4 | 5 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 32 | 33 | 35 | 36 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | dst_bytes | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_srv_diff_host_rate | dst_host_serror_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9818966065109295,0.885213945653188,0.7600271827088529,0.2924494277394352,0.988848143493022,0.9568225015966753,0.9146356914051427,0.9154665293511843,3729,1211,1377,100
35,0.9689510210953236,0.9751904627431697,36,dst_host_serror_rate,0.9694349060934977,0 | 1 | 2 | 3 | 4 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 32 | 33 | 35 | 36 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_srv_diff_host_rate | dst_host_serror_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9848781140760425,0.8964827697964484,0.7563503358873827,0.28772499085555164,0.9902874152238461,0.9620567897601884,0.9207289537472692,0.9208238928939237,3729,1211,1377,100
34,0.9709767133420544,0.9767135092741758,35,dst_host_srv_diff_host_rate,0.9717886509272534,0 | 1 | 2 | 3 | 4 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 32 | 33 | 35 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_srv_diff_host_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9865296378175008,0.8976411667905855,0.7677895100627418,0.287663914455905,0.9913252076371932,0.9639655713460801,0.9254142836522029,0.9244809474768281,3729,1211,1377,100
33,0.9727103453798942,0.9778494172152026,21,count,0.9739958915263326,0 | 1 | 2 | 3 | 4 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 32 | 33 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.987707964541037,0.8968029629456933,0.7742809310092503,0.294972234338014,0.9920443187652433,0.9663766146404271,0.928986655119003,0.9305231719876417,3729,1211,1377,100
32,0.9754182978497351,0.9795790746698605,37,dst_host_srv_serror_rate,0.9754480792458721,0 | 1 | 2 | 3 | 4 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 32 | 33 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.987360791301573,0.8964001897657152,0.8049266631879759,0.32942487268074827,0.9919382942003541,0.967355029973271,0.9404696249327821,0.9382770339855818,3729,1211,1377,100
31,0.9768043560913362,0.9806599169015334,4,src_bytes,0.9765023031126877,0 | 1 | 2 | 3 | 4 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 32 | 33 | 38 | 39,duration | protocol_type | service | flag | src_bytes | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9874344676052611,0.903796520093443,0.8151451665791716,0.34132522022862877,0.9917562103357241,0.9702549832848733,0.9445154954837716,0.9431802265705459,3729,1211,1377,100
30,0.9772948625296446,0.9813375371284564,18,num_access_files,0.977207911414832,0 | 1 | 2 | 3 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 32 | 33 | 38 | 39,duration | protocol_type | service | flag | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9871208372557252,0.9206517512018927,0.8152951094184391,0.3838078749819706,0.990851563123557,0.9757754398616866,0.943634013852709,0.9536755921730175,3729,1211,1377,100
29,0.9787106435708317,0.9827094337362778,27,same_srv_rate,0.9776710631524567,0 | 1 | 2 | 3 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 19 | 20 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 32 | 33 | 38 | 39,duration | protocol_type | service | flag | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | is_host_login | is_guest_login | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9886281326499251,0.9269659507708681,0.8256508153121394,0.39751261614068717,0.9918388426613685,0.9772863070327694,0.9460348658668564,0.9563542739443872,3729,1211,1377,100
28,0.9790330203933392,0.9829743776034005,14,su_attempted,0.9780108521940618,0 | 1 | 2 | 3 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 19 | 20 | 22 | 23 | 24 | 25 | 26 | 28 | 30 | 32 | 33 | 38 | 39,duration | protocol_type | service | flag | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | is_host_login | is_guest_login | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9887504641713947,0.927771488433492,0.8293938482847383,0.4002256133149015,0.9919405864740936,0.9777241914785595,0.9468251030053093,0.9570628218331617,3729,1211,1377,100
27,0.9790327315108378,0.9829739065841274,26,srv_rerror_rate,0.9782715234925453,0 | 1 | 2 | 3 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 15 | 16 | 17 | 19 | 20 | 22 | 23 | 24 | 25 | 26 | 28 | 30 | 32 | 33 | 38 | 39,duration | protocol_type | service | flag | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | num_root | num_file_creations | num_shells | is_host_login | is_guest_login | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9887504641713947,0.9277723218289449,0.8293929754190501,0.3970882981790569,0.9919405864740936,0.9777243615637978,0.9468249534241739,0.9570442842430484,3729,1211,1377,100
26,0.9794117774506986,0.9832244726126202,33,dst_host_diff_srv_rate,0.9785057312700538,0 | 1 | 2 | 3 | 6 | 8 | 9 | 10 | 11 | 12 | 13 | 15 | 16 | 17 | 19 | 20 | 22 | 23 | 24 | 25 | 28 | 30 | 32 | 33 | 38 | 39,duration | protocol_type | service | flag | land | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | num_root | num_file_creations | num_shells | is_host_login | is_guest_login | srv_count | serror_rate | srv_serror_rate | rerror_rate | diff_srv_rate | dst_host_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,0.9889738801739771,0.9271697740493936,0.8320236280727993,0.39607237641555526,0.9921328060551377,0.9778512451515076,0.9479252722563641,0.9575118434603501,3729,1211,1377,100
