n_features,select_objective,select_auc_roc,select_auc_pr,removed_next,removed_next_name,removed_next_select_objective,removed_next_select_auc_roc,removed_next_select_auc_pr,kept_sites,kept_features,n_dos,n_probe,n_r2l,n_u2r,select_auc_pr_dos,select_auc_pr_probe,select_auc_pr_r2l,select_auc_pr_u2r,select_auc_roc_dos,select_auc_roc_probe,select_auc_roc_r2l,select_auc_roc_u2r
40,0.9806634266065596,0.9806634266065596,0.977429687148557,5,dst_bytes,0.9823202264506621,0.9823202264506621,0.9804318491494859,0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | dst_bytes | land | wrong_fragment | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | srv_diff_host_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_serror_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,9185,2331,199,10,0.986930208638299,0.8283477697930586,0.11970166054266462,0.22751049539368584,0.9946988372622663,0.9452567710419073,0.74962793774351,0.940036379835177
39,0.9823202264506621,0.9823202264506621,0.9804318491494859,36,dst_host_serror_rate,0.9832414985623625,0.9832414985623625,0.9811654856382177,0 | 1 | 2 | 3 | 4 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | land | wrong_fragment | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | srv_diff_host_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_serror_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,9185,2331,199,10,0.9902626279081552,0.8459490759159689,0.11329219334336886,0.2161650844638635,0.9959757467226602,0.9513417036989685,0.7169136946145831,0.9424084935778454
38,0.9832414985623625,0.9832414985623625,0.9811654856382177,39,dst_host_srv_rerror_rate,0.9838972474264128,0.9838972474264128,0.9821858186174626,0 | 1 | 2 | 3 | 4 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 37 | 38 | 39,duration | protocol_type | service | flag | src_bytes | land | wrong_fragment | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | srv_diff_host_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_srv_serror_rate | dst_host_rerror_rate | dst_host_srv_rerror_rate,9185,2331,199,10,0.991124741121089,0.8458004806776078,0.10992131376622605,0.2630095575653995,0.9965013917520962,0.9539531311377774,0.7160876772309092,0.9475090949587943
37,0.9838972474264128,0.9838972474264128,0.9821858186174626,9,hot,0.9844201539316135,0.9844201539316135,0.983603466690584,0 | 1 | 2 | 3 | 4 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 37 | 38,duration | protocol_type | service | flag | src_bytes | land | wrong_fragment | urgent | hot | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | srv_diff_host_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_srv_serror_rate | dst_host_rerror_rate,9185,2331,199,10,0.992366882751296,0.8453323542553305,0.1052129121291873,0.2648556011014552,0.9969192952723996,0.9557797352733873,0.7139021262672408,0.9502412948251541
36,0.9844201539316135,0.9844201539316135,0.983603466690584,18,num_access_files,0.9849062579300395,0.9849062579300395,0.9844785089096085,0 | 1 | 2 | 3 | 4 | 6 | 7 | 8 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 37 | 38,duration | protocol_type | service | flag | src_bytes | land | wrong_fragment | urgent | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | num_access_files | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | srv_diff_host_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_srv_serror_rate | dst_host_rerror_rate,9185,2331,199,10,0.9940663372920984,0.8559933307131441,0.06109874624537553,0.3069441633686714,0.997371592979916,0.9570644114411283,0.7087656337967213,0.950671913282352
35,0.9849062579300395,0.9849062579300395,0.9844785089096085,15,num_root,0.9853736630636155,0.9853736630636155,0.9850236446828503,0 | 1 | 2 | 3 | 4 | 6 | 7 | 8 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 37 | 38,duration | protocol_type | service | flag | src_bytes | land | wrong_fragment | urgent | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_root | num_file_creations | num_shells | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | srv_diff_host_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_srv_serror_rate | dst_host_rerror_rate,9185,2331,199,10,0.9949252866295064,0.8622881430821756,0.06767375733677722,0.3266337488329549,0.9977152196056728,0.9580386045602468,0.7100992377433981,0.9513846610735764
34,0.9853736630636155,0.9853736630636155,0.9850236446828503,29,srv_diff_host_rate,0.9857147289653998,0.9857147289653998,0.9850014625334558,0 | 1 | 2 | 3 | 4 | 6 | 7 | 8 | 10 | 11 | 12 | 13 | 14 | 16 | 17 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 37 | 38,duration | protocol_type | service | flag | src_bytes | land | wrong_fragment | urgent | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_file_creations | num_shells | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | srv_diff_host_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_srv_serror_rate | dst_host_rerror_rate,9185,2331,199,10,0.9953762416610669,0.8659251348843902,0.07061990085979361,0.26280801918096175,0.997969219263671,0.9590882525770045,0.7136232428009824,0.9513178409681491
33,0.9857147289653998,0.9857147289653998,0.9850014625334558,37,dst_host_srv_serror_rate,0.9862735134821949,0.9862735134821949,0.9850297190895911,0 | 1 | 2 | 3 | 4 | 6 | 7 | 8 | 10 | 11 | 12 | 13 | 14 | 16 | 17 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 31 | 32 | 33 | 34 | 35 | 37 | 38,duration | protocol_type | service | flag | src_bytes | land | wrong_fragment | urgent | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_file_creations | num_shells | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_srv_serror_rate | dst_host_rerror_rate,9185,2331,199,10,0.9956283231145605,0.8536391014293991,0.07575119642186731,0.2734112425655763,0.9982410788409748,0.9580504849641384,0.7330053638897583,0.9577140099487713
32,0.9862735134821949,0.9862735134821949,0.9850297190895911,26,srv_rerror_rate,0.9865242733016715,0.9865242733016715,0.9850924208352595,0 | 1 | 2 | 3 | 4 | 6 | 7 | 8 | 10 | 11 | 12 | 13 | 14 | 16 | 17 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 30 | 31 | 32 | 33 | 34 | 35 | 38,duration | protocol_type | service | flag | src_bytes | land | wrong_fragment | urgent | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_file_creations | num_shells | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | srv_rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_rerror_rate,9185,2331,199,10,0.9947106540748968,0.8653493632028668,0.06888253028966534,0.3028308195929487,0.9978504158402731,0.9629733357552794,0.7260795401761947,0.9620201945207514
31,0.9865242733016715,0.9865242733016715,0.9850924208352595,16,num_file_creations,0.9868021632554007,0.9868021632554007,0.9855910894404531,0 | 1 | 2 | 3 | 4 | 6 | 7 | 8 | 10 | 11 | 12 | 13 | 14 | 16 | 17 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 27 | 28 | 30 | 31 | 32 | 33 | 34 | 35 | 38,duration | protocol_type | service | flag | src_bytes | land | wrong_fragment | urgent | num_failed_logins | logged_in | num_compromised | root_shell | su_attempted | num_file_creations | num_shells | is_host_login | is_guest_login | count | srv_count | serror_rate | srv_serror_rate | rerror_rate | same_srv_rate | diff_srv_rate | dst_host_count | dst_host_srv_count | dst_host_same_srv_rate | dst_host_diff_srv_rate | dst_host_same_src_port_rate | dst_host_srv_diff_host_rate | dst_host_rerror_rate,9185,2331,199,10,0.9945717946184996,0.8639257383593084,0.06902907243502575,0.3042395340669134,0.9979026416554507,0.9637854075451522,0.7288929986632248,0.9627849135050858
