percentile,threshold,precision,recall,f1
90,10.043764,0.891105,0.870412,0.880637
90.5,10.125749,0.890825,0.860282,0.875287
91,10.254099,0.892817,0.860048,0.876126
91.5,10.399287,0.894656,0.859659,0.876808
92,10.492181,0.896853,0.857087,0.876519
92.5,10.601481,0.898309,0.857009,0.877173
93,10.744440,0.899542,0.856853,0.877679
93.5,10.926872,0.901671,0.849606,0.874865
94,11.079599,0.904544,0.848438,0.875593
94.5,11.264592,0.906928,0.846645,0.875751
95,11.520443,0.908175,0.843139,0.874449
95.5,11.807428,0.910864,0.840879,0.874473
96,12.120392,0.949174,0.832385,0.886951
96.5,12.490277,0.952100,0.830203,0.886983
97,12.839168,0.952685,0.825294,0.884426
97.5,13.327274,0.956308,0.805034,0.874175
98,13.866959,0.957022,0.758279,0.846137
98.5,14.672671,0.949701,0.569391,0.711940
99,15.714631,0.951838,0.488194,0.645377
99.5,17.618745,0.958731,0.360243,0.523704
