percentile,threshold,precision,recall,f1
90,5.317993,0.938240,0.870101,0.902887
90.5,5.468191,0.940020,0.815787,0.873509
91,5.480506,0.941965,0.815787,0.874348
91.5,5.489361,0.943578,0.815787,0.875042
92,5.676350,0.943812,0.801060,0.866596
92.5,6.000075,0.945114,0.801060,0.867145
93,6.128218,0.945591,0.796306,0.864552
93.5,6.189587,0.946997,0.794982,0.864357
94,6.274518,0.953763,0.794047,0.866607
94.5,6.320453,0.953852,0.794047,0.866644
95,6.507990,0.954057,0.760539,0.846377
95.5,6.642694,0.954000,0.749864,0.839703
96,6.750960,0.957254,0.748617,0.840177
96.5,6.941012,0.960858,0.740279,0.836268
97,7.284919,0.964275,0.731941,0.832196
97.5,7.658012,0.975493,0.728902,0.834359
98,7.836250,0.980604,0.701239,0.817719
98.5,8.292377,0.982692,0.694615,0.813915
99,8.825253,0.981295,0.621367,0.760914
99.5,9.988201,0.980466,0.504559,0.666255
