percentile,threshold,precision,recall,f1
90,9.532140,0.880880,0.836126,0.857920
90.5,9.656268,0.882973,0.836048,0.858870
91,9.777947,0.886757,0.835346,0.860284
91.5,9.857012,0.888197,0.833242,0.859842
92,10.031301,0.889975,0.823190,0.855281
92.5,10.157776,0.890934,0.810956,0.849066
93,10.302370,0.892565,0.807294,0.847791
93.5,10.477675,0.893582,0.799579,0.843971
94,10.625950,0.895504,0.794670,0.842079
94.5,10.799077,0.897237,0.791943,0.841308
95,11.001464,0.898210,0.790072,0.840678
95.5,11.230583,0.897403,0.770202,0.828951
96,11.524492,0.896215,0.743552,0.812777
96.5,11.795538,0.899095,0.742928,0.813585
97,12.226024,0.903412,0.732487,0.809020
97.5,12.598045,0.946755,0.727421,0.822721
98,13.083032,0.949333,0.709577,0.812129
98.5,14.008583,0.942236,0.489363,0.644169
99,15.497418,0.945652,0.338970,0.499054
99.5,17.676328,0.966038,0.239383,0.383688
